,nation,class,tier,prem,name,players,total battles,battles,win,draw,lose,exp,damagecaused,warshipdestroyed,aircraftdestoryed,basecapture,basedefense,survived,kill /death,agrodamage,spotdamage,hitratio
19,IT,BB,6,P,Giunio Bruto (old),0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
20,IT,BB,8,P,AL Littorio,853,4961,5.82,52.33,0.04,47.63,1611,59925,0.78,3.98,5.05,4.3,35.01,1.2,1231595,18121,31.62
21,IT,BB,8,P,Roma,838,2236,2.67,51.52,0.04,48.43,1608,61394,0.78,4.09,5.0,4.92,37.84,1.25,1226828,18804,32.02
22,IT,CA,1,,Eritrea,475,850,1.79,52.59,1.18,46.24,919,18074,3.23,0.0,2.21,15.56,45.18,5.89,100157,892,42.22
23,IT,CA,2,,Nino Bixio,604,1239,2.05,46.57,1.53,51.9,693,22937,1.26,0.0,3.21,12.2,31.56,1.84,190421,1629,44.96
24,IT,CA,3,,Taranto,796,2057,2.58,47.98,0.58,51.43,769,25551,1.05,0.08,6.53,7.98,23.43,1.37,283141,3454,43.39
25,IT,CA,4,,Alberto di Giussano,946,3082,3.26,51.07,1.95,46.98,841,26516,0.92,4.04,6.66,8.02,23.43,1.2,332354,4618,40.99
26,IT,CA,5,,Raimondo Montecuccoli,1791,6166,3.44,51.49,0.02,48.49,996,22634,0.56,3.26,6.39,5.62,22.83,0.73,459873,9057,33.14
27,IT,CA,5,P,Genova,226,512,2.27,49.41,0.2,50.39,1031,23600,0.57,1.5,4.44,4.3,13.09,0.66,441798,8606,36.15
28,IT,CA,6,,Trento,1938,6128,3.16,49.56,0.08,50.36,1142,29295,0.55,3.08,4.83,5.59,22.32,0.71,522445,8973,31.85
29,IT,CA,6,P,Duca d'Aosta,298,694,2.33,47.69,0.0,52.31,1160,25412,0.53,2.73,5.24,7.28,24.5,0.7,580148,10989,33.0
30,IT,CA,7,,Zara,1553,5992,3.86,50.78,0.07,49.15,1371,39478,0.64,2.19,6.71,6.94,32.21,0.94,593709,11719,36.02
31,IT,CA,7,P,Duca degli Abruzzi,209,445,2.13,48.09,0.0,51.91,1253,30034,0.42,1.91,6.88,6.88,26.07,0.57,650773,12138,33.14
32,IT,CA,7,P,Gorizia,350,652,1.86,51.99,0.0,48.01,1431,41404,0.66,1.61,7.85,8.07,31.9,0.97,646411,12926,38.91
33,IT,CA,8,,Amalfi,1385,5662,4.09,49.95,0.02,50.04,1514,45280,0.6,3.29,7.57,7.07,31.17,0.87,720066,14554,38.17
34,IT,CA,9,,Brindisi,1054,5335,5.06,48.06,0.0,51.94,1525,59104,0.64,1.84,6.5,6.65,38.69,1.04,788559,16873,38.21
35,IT,CA,10,,Venezia,2391,8182,3.42,51.56,0.01,48.42,1906,84561,0.82,3.23,7.08,7.04,50.83,1.67,1090489,24408,37.99
36,IT,DD,6,P,Leone,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
37,IT,DD,9,P,Paolo Emilio,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
38,JP,BB,2,P,Mikasa,277,764,2.76,54.19,0.0,45.81,828,37736,2.17,0.0,5.78,12.73,44.9,3.94,407319,2650,38.28
39,JP,BB,3,,Kawachi,1511,5141,3.4,48.65,0.8,50.55,862,36431,1.42,0.02,7.78,14.94,43.86,2.53,376253,2180,32.68
40,JP,BB,4,,Myogi,1672,7301,4.37,48.87,0.79,50.34,927,42209,1.19,1.71,6.92,13.39,41.09,2.02,500536,3360,34.38
41,JP,BB,4,P,Ishizuchi,2730,8667,3.17,49.75,0.92,49.33,948,45540,1.29,0.19,7.47,13.85,39.28,2.12,457799,3044,30.98
42,JP,BB,5,,Kongo,3319,15316,4.61,48.78,0.07,51.15,1024,32389,0.6,2.9,3.18,3.98,34.16,0.91,743439,9340,22.94
43,JP,BB,5,P,ARP Haruna,267,572,2.14,52.1,0.0,47.9,1126,45045,0.89,3.24,4.44,4.45,37.41,1.42,829708,10570,27.04
44,JP,BB,5,P,ARP Hiei,406,881,2.17,49.38,0.0,50.62,1132,45247,0.85,3.18,4.12,4.58,35.19,1.31,818891,10678,27.27
45,JP,BB,5,P,ARP Kirishima,293,658,2.25,51.82,0.15,48.02,1078,45502,0.89,3.26,3.74,5.17,35.41,1.38,741188,9589,26.87
46,JP,BB,5,P,ARP Kongo,604,1231,2.04,53.86,0.16,45.98,1132,44340,0.89,3.42,4.22,4.71,38.42,1.45,819441,10935,26.82
47,JP,BB,6,,Fuso,3071,14294,4.65,49.2,0.02,50.78,1244,44690,0.72,2.71,2.58,5.09,39.21,1.18,853845,9404,20.81
48,JP,BB,6,P,Mutsu,486,1170,2.41,55.04,0.0,44.96,1456,52953,0.91,2.33,3.95,4.14,36.32,1.43,828548,11250,25.91
49,JP,BB,7,,Nagato,2785,13505,4.85,49.43,0.03,50.54,1339,50420,0.68,2.16,2.52,4.02,35.98,1.06,869724,11231,25.33
50,JP,BB,7,P,Ashitaka,446,1369,3.07,48.36,0.07,51.57,1238,49835,0.72,0.75,2.24,3.81,33.6,1.08,811762,10653,24.06
51,JP,BB,8,,Amagi,2212,11811,5.34,48.82,0.03,51.16,1442,58201,0.7,3.45,3.31,4.49,38.91,1.15,1140955,15533,26.21
52,JP,BB,8,P,Ignis Purgatio,233,675,2.9,46.67,0.0,53.33,1466,54773,0.66,3.35,3.66,3.83,34.07,1.0,1136160,15016,26.69
53,JP,BB,8,P,Kii,557,1540,2.76,50.19,0.06,49.74,1520,57915,0.73,5.15,3.11,4.24,34.61,1.12,1160596,15771,25.34
54,JP,BB,8,P,Ragnarok,189,465,2.46,46.45,0.0,53.55,1444,53676,0.68,3.77,3.25,3.92,33.55,1.02,1181452,15846,26.48
55,JP,BB,9,,Izumo,1541,9810,6.37,47.34,0.04,52.62,1485,65944,0.63,1.42,3.08,4.06,35.49,0.98,1285859,18866,29.67
56,JP,BB,9,P,Musashi,2014,6318,3.14,56.9,0.03,43.07,1794,97429,1.04,1.3,3.92,4.5,45.66,1.91,1391738,19912,29.53
57,JP,BB,10,P,Shikishima,355,2438,6.87,55.78,0.04,44.18,1986,112340,1.01,3.69,3.5,3.93,45.9,1.87,1587607,22873,32.39
58,JP,BB,10,,Yamato,5363,21677,4.04,48.71,0.04,51.25,1843,88789,0.72,2.39,2.58,3.71,38.25,1.17,1473758,21288,29.06
59,JP,BB,10,,[Yamato],0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
60,JP,CA,1,,Hashidate,1223,2373,1.94,46.27,2.36,51.37,826,17056,2.95,0.0,3.44,16.46,45.55,5.42,100634,476,51.14
61,JP,CA,2,,Chikuma,2114,4666,2.21,47.3,2.51,50.19,749,23046,1.32,0.0,4.2,12.36,33.33,1.98,229925,1349,54.69
62,JP,CA,3,,Tenryu,1928,5938,3.08,47.95,1.87,50.19,854,29823,1.25,0.02,6.56,9.35,26.71,1.71,231827,2186,46.79
63,JP,CA,3,P,Katori,140,245,1.75,55.92,0.0,44.08,905,30481,1.19,2.42,3.69,11.79,30.61,1.71,291108,3818,43.06
64,JP,CA,4,,Kuma,1787,7680,4.3,50.86,3.28,45.86,890,33064,1.21,0.94,6.95,9.05,25.47,1.62,284676,3555,41.1
65,JP,CA,4,P,Iwaki Alpha,18,39,2.17,69.23,0.0,30.77,1096,46785,1.72,2.08,20.62,0.97,41.03,2.92,261865,6102,56.22
66,JP,CA,4,P,Yubari,648,1455,2.25,51.48,0.89,47.63,916,28974,1.14,5.4,8.34,9.43,24.74,1.51,305814,4680,46.02
67,JP,CA,5,,Furutaka,2743,12186,4.44,50.17,0.06,49.77,952,18602,0.44,1.37,4.12,3.96,17.77,0.54,475210,9320,35.84
68,JP,CA,5,P,Yahagi,175,399,2.28,48.37,0.0,51.63,1005,27049,0.65,2.88,7.2,7.28,25.31,0.87,411502,10104,32.4
69,JP,CA,6,,Aoba,2274,8612,3.79,48.55,0.03,51.42,1141,25953,0.49,2.38,4.75,4.79,22.27,0.63,541709,10211,35.37
70,JP,CA,7,,Myoko,1883,9099,4.83,50.09,0.11,49.8,1261,35290,0.57,2.28,4.5,4.98,28.45,0.8,548426,10817,33.28
71,JP,CA,7,P,ARP Ashigara,154,312,2.03,53.53,0.0,46.47,1177,36532,0.54,2.46,5.72,4.61,23.08,0.7,587589,11954,34.37
72,JP,CA,7,P,ARP Haguro,197,492,2.5,50.81,0.0,49.19,1207,38188,0.57,2.29,5.11,5.12,27.44,0.79,594888,12170,34.41
73,JP,CA,7,P,ARP Myoko,326,722,2.21,52.63,0.0,47.37,1313,42041,0.73,2.84,6.13,7.14,34.07,1.11,615694,12812,36.03
74,JP,CA,7,P,ARP Nachi,152,342,2.25,50.0,0.58,49.42,1203,36279,0.62,2.94,3.74,6.22,27.49,0.86,618941,12521,33.89
75,JP,CA,7,P,Eastern Dragon,23,26,1.13,61.54,0.0,38.46,1559,41448,0.73,2.08,11.5,6.5,42.31,1.27,473050,11576,33.74
76,JP,CA,7,P,Southern Dragon,119,290,2.44,50.0,0.0,50.0,1316,42467,0.63,2.78,7.1,4.84,29.66,0.9,611638,11853,36.04
77,JP,CA,8,,Mogami,1780,6789,3.81,49.4,0.04,50.55,1427,41200,0.59,2.2,5.8,5.96,28.71,0.83,612519,14218,33.39
78,JP,CA,8,P,ARP Takao,632,1645,2.6,52.22,0.0,47.78,1496,47873,0.67,2.82,7.78,6.82,35.56,1.04,791288,18361,39.02
79,JP,CA,8,P,Atago,1642,5600,3.41,49.2,0.04,50.77,1400,39539,0.55,2.58,6.61,5.55,32.79,0.82,752239,17124,36.03
80,JP,CA,8,P,Atago B,183,550,3.01,51.09,0.0,48.91,1533,46985,0.73,2.82,8.82,6.65,36.55,1.15,798118,18808,38.06
81,JP,CA,9,,Ibuki,1219,5824,4.78,46.93,0.07,53.0,1464,55236,0.57,1.75,6.01,7.13,38.98,0.93,761573,17550,34.26
82,JP,CA,9,,Azuma,613,2500,4.08,51.32,0.04,48.64,1610,73998,0.69,1.86,3.53,6.11,46.04,1.28,927354,16862,33.07
83,JP,CA,10,P,Yoshino,1992,7994,4.01,49.37,0.04,50.59,1602,80377,0.69,2.92,3.86,5.58,44.6,1.25,1080326,20223,31.44
84,JP,CA,10,,Zao,2401,8874,3.7,48.29,0.02,51.69,1607,71325,0.68,2.7,5.92,6.46,39.84,1.13,898955,23307,37.01
85,JP,CA,10,,[Zao],0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
86,JP,CV,4,,Hosho,2489,10545,4.24,53.25,0.4,46.35,810,34789,0.92,3.13,2.65,18.98,65.34,2.65,129831,9883,0.0
87,JP,CV,4,,Hosho (old),1,14,14.0,64.29,0.0,35.71,946,48696,1.57,10.14,0.0,17.14,78.57,7.33,93320,21718,0.0
88,JP,CV,5,,Zuiho (old),1,14,14.0,57.14,0.0,42.86,855,54675,1.43,6.57,0.0,7.43,64.29,4.0,159468,25852,0.0
89,JP,CV,6,,Ryujo,2633,11702,4.44,52.07,0.05,47.88,1279,40622,0.8,3.77,0.81,12.57,71.56,2.81,122270,28752,0.0
90,JP,CV,6,,Ryujo (old),1,30,30.0,66.67,0.0,33.33,1090,51411,1.13,11.67,0.9,5.67,80.0,5.65,100813,48963,0.0
91,JP,CV,7,,Hiryu (old),1,37,37.0,54.05,0.0,45.95,1390,44756,0.86,18.76,0.0,6.51,81.08,4.55,86160,85779,0.0
92,JP,CV,7,P,Kaga (old),0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
93,JP,CV,8,,Shokaku,1702,7635,4.49,49.93,0.03,50.05,1545,54579,0.86,3.89,0.7,11.39,74.32,3.35,186514,46060,0.0
94,JP,CV,8,,Shokaku (old),1,55,55.0,61.82,0.0,38.18,1664,63122,0.78,15.65,0.0,6.36,85.45,5.36,145969,121249,0.0
95,JP,CV,8,P,Kaga,896,3117,3.48,49.66,0.06,50.27,1596,60967,0.79,3.39,0.27,10.8,72.47,2.87,190902,46668,0.0
96,JP,CV,9,,Taiho (old),1,3,3.0,100.0,0.0,0.0,1928,93719,0.33,19.67,0.0,0.0,100.0,999.99,0,135793,0.0
97,JP,CV,10,,Hakuryu,1110,4267,3.84,49.47,0.07,50.46,1650,81066,0.89,5.1,0.61,10.06,74.78,3.53,283989,75996,0.0
98,JP,CV,10,,Hakuryu (old),0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
99,JP,CV,10,,[Hakuryu] (old),0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
100,JP,DD,2,,Umikaze,1276,3026,2.37,50.46,2.91,46.63,739,28233,1.63,0.01,4.92,6.38,31.73,2.39,195644,1896,53.35
101,JP,DD,2,P,Tachibana,66,130,1.97,52.31,0.0,47.69,941,32775,2.02,0.0,3.93,10.62,38.46,3.28,164330,2251,51.0
102,JP,DD,2,P,Tachibana Lima,137,326,2.38,55.83,0.0,44.17,888,28615,1.72,0.0,8.46,8.77,33.13,2.57,166787,2654,48.12
103,JP,DD,3,,Wakatake,1546,4588,2.97,47.78,3.49,48.74,772,25253,1.09,0.04,7.48,3.6,20.6,1.37,204204,2960,55.51
104,JP,DD,4,,Isokaze,2695,11267,4.18,47.28,4.47,48.25,787,27345,1.07,0.25,10.64,3.88,21.63,1.37,215166,4780,47.68
105,JP,DD,5,,Minekaze,1719,6737,3.92,49.62,0.06,50.32,897,18123,0.56,0.14,20.87,3.31,21.94,0.72,265446,13585,46.37
106,JP,DD,5,,Mutsuki,2348,10163,4.33,48.33,0.03,51.64,876,16847,0.5,1.1,18.56,2.11,21.23,0.63,257734,13179,43.5
107,JP,DD,5,P,Fujin,230,1080,4.7,65.0,0.0,35.0,1515,44624,1.45,0.03,32.88,4.56,43.52,2.57,246807,19340,49.77
108,JP,DD,5,P,Kamikaze,290,1206,4.16,60.45,0.0,39.55,1379,37799,1.26,0.03,30.81,4.59,38.56,2.05,254384,17821,49.93
109,JP,DD,5,P,Kamikaze R,482,2363,4.9,63.61,0.04,36.35,1410,44015,1.43,0.03,31.18,5.21,41.85,2.46,264919,18358,50.11
110,JP,DD,6,,Fubuki,2710,12374,4.57,48.42,0.02,51.56,1022,20855,0.54,1.31,19.83,2.97,23.37,0.7,284353,15325,42.17
111,JP,DD,6,,Hatsuharu,1403,5595,3.99,49.69,0.04,50.28,1131,22676,0.62,2.06,24.01,4.76,26.24,0.84,319434,16671,46.1
112,JP,DD,6,,Mutsuki (old),1,135,135.0,49.63,0.0,50.37,807,12796,0.39,0.57,0.0,0.0,31.11,0.57,0,0,37.28
113,JP,DD,6,P,Shinonome,595,1376,2.31,52.47,0.15,47.38,1307,30973,0.9,0.04,28.46,5.64,30.67,1.3,313243,18924,49.95
114,JP,DD,7,,Akatsuki,2581,13375,5.18,49.22,0.04,50.74,1193,25618,0.6,1.25,24.11,3.68,25.43,0.8,322189,18194,43.37
115,JP,DD,7,,Hatsuharu (old),1,137,137.0,51.82,0.0,48.18,1078,18678,0.41,0.61,0.0,0.0,39.42,0.68,0,0,39.79
116,JP,DD,7,,Shiratsuyu,1409,6443,4.57,51.17,0.03,48.8,1349,29055,0.69,0.71,28.76,5.34,30.56,0.99,334113,22704,46.68
117,JP,DD,7,P,Yudachi,213,535,2.51,51.96,0.0,48.04,1317,29630,0.61,0.19,31.11,4.52,39.07,1.0,334419,23371,44.72
118,JP,DD,8,,Akizuki,1878,8468,4.51,51.63,0.04,48.33,1653,41382,0.78,3.32,26.44,7.44,29.04,1.1,456186,21004,41.7
119,JP,DD,8,P,Arashi,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
120,JP,DD,8,,Fubuki (old),1,263,263.0,55.51,0.0,44.49,1371,31511,0.75,0.35,25.63,6.52,44.49,1.35,137026,16094,45.82
121,JP,DD,8,,Kagero,2035,9023,4.43,47.67,0.03,52.3,1367,30411,0.62,0.67,28.8,4.07,27.62,0.86,348778,27680,46.08
122,JP,DD,8,P,AL Yukikaze,694,4479,6.45,51.8,0.04,48.16,1615,34859,0.82,0.84,32.57,4.74,33.6,1.23,364756,29657,47.88
123,JP,DD,8,P,Asashio,1026,4782,4.66,51.84,0.02,48.14,1600,52424,0.77,0.08,25.27,3.9,39.96,1.28,343097,30388,44.5
124,JP,DD,8,P,Asashio B,313,1087,3.47,54.92,0.09,44.99,1619,55746,0.83,0.08,27.16,4.29,40.57,1.4,359272,31615,45.85
125,JP,DD,8,P,HSF Harekaze,446,1201,2.69,46.79,0.0,53.21,1485,31150,0.68,1.78,32.17,5.58,28.06,0.95,374244,26775,47.15
126,JP,DD,9,,Kagero (old),0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
127,JP,DD,9,,Kitakaze,2213,10700,4.84,51.59,0.04,48.37,1708,51905,0.86,1.9,30.4,7.48,31.59,1.26,478269,26272,41.92
128,JP,DD,9,,Yugumo,1693,8652,5.11,47.6,0.0,52.4,1392,37566,0.69,0.77,29.78,4.22,30.84,1.0,371438,32036,43.01
129,JP,DD,10,,Harugumo,1792,6039,3.37,49.0,0.05,50.95,1585,52192,0.7,2.77,26.72,6.15,28.17,0.97,559321,28539,37.21
130,JP,DD,10,,Hayate,118,326,2.76,50.61,0.0,49.39,1717,48217,0.83,1.88,31.56,6.19,37.73,1.33,496871,39236,42.54
131,JP,DD,10,,Shimakaze,4298,22175,5.16,49.3,0.03,50.67,1481,44578,0.66,1.02,31.45,3.65,32.79,0.98,426240,42728,43.22
132,JP,DD,10,,[Shimakaze],0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
133,KM,BB,3,,Nassau,2067,7303,3.53,54.58,0.52,44.9,835,43281,1.65,0.05,8.33,19.13,49.13,3.24,420690,2329,37.27
134,KM,BB,3,P,Koenig Albert,86,158,1.84,68.99,1.27,29.75,1037,44461,1.72,0.25,5.35,8.7,51.27,3.53,419364,4374,34.92
135,KM,BB,4,,Kaiser,2506,11377,4.54,52.14,0.48,47.38,898,47534,1.42,4.07,8.33,17.11,47.91,2.73,529656,3236,35.13
136,KM,BB,5,,Koenig,4077,21506,5.27,49.39,0.04,50.57,1000,34604,0.68,2.89,3.6,5.08,35.66,1.06,735170,10206,25.93
137,KM,BB,6,,Bayern,3838,20855,5.43,49.24,0.03,50.73,1171,38217,0.63,3.33,3.54,4.39,35.04,0.97,846649,11229,27.18
138,KM,BB,6,P,Prinz Eitel Friedrich,734,1842,2.51,53.91,0.0,46.09,1383,48606,0.91,5.87,5.59,5.19,35.29,1.41,982573,12392,32.9
139,KM,BB,7,,Gneisenau,4199,24485,5.83,49.45,0.04,50.51,1274,42646,0.65,4.53,4.01,3.84,30.53,0.94,999473,13746,29.09
140,KM,BB,7,P,Scharnhorst,2901,9476,3.27,51.69,0.02,48.29,1381,46974,0.73,3.35,4.53,4.66,30.99,1.06,1003380,13762,29.05
141,KM,BB,7,P,Scharnhorst B,415,894,2.15,55.37,0.11,44.52,1541,51470,0.82,3.6,4.66,4.91,30.2,1.17,1008229,13960,30.43
142,KM,BB,8,,Bismarck,6851,37010,5.4,49.07,0.04,50.89,1435,53553,0.67,4.38,3.86,5.26,29.1,0.94,1178846,16132,28.87
143,KM,BB,8,P,Odin,5620,25465,4.53,52.61,0.02,47.37,1617,60512,0.83,5.37,5.34,6.04,29.94,1.18,1168741,17447,32.47
144,KM,BB,8,P,Tirpitz,3947,16748,4.24,48.22,0.03,51.75,1446,52013,0.65,3.46,3.54,4.95,28.19,0.91,1153259,15377,27.71
145,KM,BB,8,P,Tirpitz B,480,1389,2.89,50.04,0.0,49.96,1529,56994,0.71,4.06,4.5,5.15,23.25,0.93,1225818,15527,29.87
146,KM,BB,9,,Friedrich der Grosse,3566,21222,5.95,48.04,0.04,51.91,1419,60675,0.63,2.16,3.34,4.67,28.98,0.89,1317865,19465,29.69
147,KM,BB,9,P,Pommern,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
148,KM,BB,10,,Grosser Kurfuerst,6291,29555,4.7,50.32,0.04,49.64,1628,76942,0.71,3.17,3.09,4.1,29.2,1.0,1687727,24584,28.64
149,KM,BB,10,,[Grosser Kurfuerst],0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
150,KM,CA,1,,Hermelin,1566,4373,2.79,53.4,2.15,44.45,968,18820,3.37,0.0,2.54,16.37,50.17,6.76,98616,473,47.07
151,KM,CA,2,,Dresden,2279,6105,2.68,50.53,2.08,47.39,758,25569,1.51,0.0,3.53,14.08,37.35,2.41,232208,1338,46.42
152,KM,CA,2,P,Emden,110,199,1.81,56.78,0.0,43.22,803,25918,1.49,0.0,6.11,17.93,44.22,2.67,217607,2326,38.44
153,KM,CA,3,,Kolberg,2278,7096,3.12,47.13,1.32,51.55,806,25292,1.09,0.0,6.47,12.05,26.52,1.48,265753,2218,43.44
154,KM,CA,4,,Karlsruhe,1919,7258,3.78,47.77,2.76,49.48,918,29487,1.11,0.21,7.08,11.29,25.79,1.5,302554,3399,42.26
155,KM,CA,5,,Koenigsberg,3804,17099,4.5,49.63,0.05,50.31,998,22463,0.53,1.26,3.85,5.39,17.14,0.64,401618,7630,28.77
156,KM,CA,6,,Nuernberg,3691,16272,4.41,47.53,0.02,52.45,1125,27317,0.49,1.88,3.53,6.1,20.4,0.62,459715,8462,27.74
157,KM,CA,6,P,Admiral Graf Spee,5487,18579,3.39,52.53,0.04,47.43,1162,31076,0.6,3.54,5.35,4.78,28.45,0.84,734189,12137,32.01
158,KM,CA,6,P,HSF Admiral Graf Spee,429,962,2.24,53.01,0.21,46.78,1223,32339,0.65,3.85,5.86,3.78,30.67,0.94,745961,12130,32.61
159,KM,CA,7,P,Muenchen,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
160,KM,CA,7,,Yorck,2895,13282,4.59,48.67,0.02,51.31,1315,33629,0.53,2.37,4.4,5.69,26.01,0.72,583236,11233,33.5
161,KM,CA,8,,Admiral Hipper,2825,13243,4.69,47.67,0.0,52.33,1404,37444,0.48,3.37,4.72,6.05,27.16,0.66,716941,13915,34.66
162,KM,CA,8,P,Mainz,1224,4496,3.67,53.16,0.0,46.84,1666,56195,0.72,4.07,4.94,7.97,32.72,1.07,702295,12748,30.53
163,KM,CA,8,P,Prinz Eugen,1423,4090,2.87,50.56,0.07,49.36,1401,37653,0.51,3.91,5.35,5.65,29.34,0.72,863703,15296,36.13
164,KM,CA,9,,Roon,1877,9776,5.21,48.32,0.0,51.68,1497,58284,0.58,1.7,4.81,8.08,39.94,0.97,928477,18002,34.99
165,KM,CA,9,,Aegir,1564,6530,4.18,51.88,0.05,48.07,1569,61413,0.7,2.64,5.28,4.97,32.8,1.04,1128781,19589,36.26
166,KM,CA,9,P,Siegfried,401,1931,4.82,56.19,0.05,43.76,1786,75729,0.91,2.83,6.5,5.99,38.22,1.47,1184381,23062,44.39
167,KM,CA,10,,Hindenburg,4033,17925,4.44,49.62,0.04,50.34,1783,81623,0.71,2.78,4.67,7.12,40.1,1.19,1130469,21449,32.81
168,KM,CA,10,,[Hindenburg],0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
169,KM,CV,4,,Rhein,7398,18227,2.46,49.37,0.05,50.58,719,24256,0.58,5.95,2.28,13.95,58.51,1.4,153230,12013,0.0
170,KM,CV,6,P,Erich Loewenhardt,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
171,KM,CV,6,,Weser,4808,17238,3.59,48.97,0.06,50.97,1095,28379,0.52,4.47,0.85,10.77,67.01,1.58,208416,28308,0.0
172,KM,CV,8,,August von Parseval,879,4254,4.84,51.81,0.02,48.17,1744,60451,0.85,5.2,1.16,11.34,70.92,2.92,242223,50517,0.0
173,KM,CV,8,P,Graf Zeppelin (old),0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
