,Player,Battles_R,Rank,Winrate_R,Avg.frags_R,Avg.damage_R
91,Pwinzy_Eugen_owo,14,10,78.57,0.64,45073
106,Zhijian_sniper,37,5,78.38,0.95,65950
106,Degenerate_69,37,5,78.38,1.62,90804
108,Zenn3k,23,8,78.26,1.52,69847
108,SkinnyKnight,23,8,78.26,1.13,79034
110,Dio_Brando_Wryyyyyyyyyyy,55,1,78.18,0.84,84579
111,HotHamSanwich,32,6,78.13,1.12,83468
111,Zahaiel,32,6,78.13,1.41,77957
111,RenamedUser_1037556159,32,5,78.13,1.59,78837
114,SBWGNMSL,59,4,77.97,0.92,43585
115,snow5man,36,7,77.78,1.56,74146
115,suicidegrunt355,18,10,77.78,1.22,96741
115,RagnarokApache,18,9,77.78,0.94,72613
115,FarewellFrederic,18,7,77.78,0.89,77207
115,GrizzledBear465,18,8,77.78,1.28,49584
115,Angron_The_Red_Angel,18,8,77.78,1.17,92931
115,Lt_5K1TZ,18,9,77.78,1.33,93949
115,BlueSteel_Takao_,18,8,77.78,1.33,104027
115,Jermdizzle,18,9,77.78,1.06,79857
115,AUSS119,18,8,77.78,1.11,85796
115,Act_z,27,5,77.78,1.33,47773
115,Uther_cn,18,9,77.78,1.22,57307
115,Fubuki_MioPrPr,27,7,77.78,0.93,67620
115,O_SJ,18,10,77.78,1.06,73160
129,demberg,22,8,77.27,1.27,74289
129,Ramenx,22,8,77.27,0.55,49724
129,kabeuchi,22,9,77.27,0.82,69528
129,Cimingwei_HAN,22,9,77.27,1.0,70193
129,There556,22,8,77.27,0.68,44287
134,HikikomoriKruge,35,5,77.14,1.2,44762
135,Nigel1010,26,7,76.92,0.85,51200
135,Farraguts_Finest,26,8,76.92,0.73,42575
135,Angstroms,26,6,76.92,1.54,100643
138,KevRalix,17,10,76.47,0.82,60703
138,Swick63,17,9,76.47,0.29,38598
138,I_Assassin_I,17,9,76.47,1.29,68452
138,GAYMING_MACHINE,17,9,76.47,1.41,59887
138,KingoDingo,17,10,76.47,1.12,87363
138,Pyrokitsune,17,9,76.47,1.06,45966
138,Ethereal_Khaos,17,9,76.47,0.94,48610
138,Shipload_of_shells,17,9,76.47,1.0,60927
138,PierPan,17,9,76.47,0.53,58454
138,NekoDorei,51,5,76.47,1.12,85130
138,Capt_Horatio,17,9,76.47,0.88,46273
138,Kalisse,17,10,76.47,0.47,56078
138,Taken0ut,17,10,76.47,1.29,80170
151,jixuanRailgun233,76,1,76.32,1.21,79902
151,Black_Viking_0544,38,5,76.32,0.82,61275
153,PiePi314,21,9,76.19,0.67,53782
153,killer320,21,9,76.19,0.71,62064
153,Meya_S_Aiffimeral,21,8,76.19,1.1,72070
153,michel200,21,9,76.19,0.95,86540
153,The_Librarian54,21,9,76.19,1.19,42521
153,m_roshy,21,10,76.19,0.76,41311
159,ButterSlippyMan,25,8,76,0.92,84334
159,MeAqua,25,6,76,1.36,69687
161,deadly105mm,29,7,75.86,1.07,61083
162,Five_Star_Gneral_,62,1,75.81,1.31,76114
163,SirDerpsA_Lot,33,8,75.76,1.24,70891
163,Fraccharles,33,6,75.76,0.61,58135
165,kingofthesofas,37,6,75.68,0.78,48317
165,Aeviaan,37,6,75.68,1.32,84319
167,MrHrk,41,5,75.61,1.27,91818
168,Katarya,61,1,75.41,1.2,63271
169,AdventurePigeon,28,6,75,1.11,84751
169,skullflap,28,8,75,0.54,31697
169,Etchglow,20,9,75,1.15,79348
169,WyrdNyrd,16,9,75,1.25,68410
169,CommoRanger,16,9,75,0.94,63064
169,fgwaterpolo6,24,8,75,0.54,44168
169,PKMR_211_Sea_Eagle,36,8,75,0.56,55081
169,Kartaugh,16,7,75,1.12,82896
169,Stoper,16,9,75,0.81,44516
169,ZMK48,20,10,75,0.55,42459
169,smitty104,16,10,75,0.69,70085
169,Cmuss89,20,9,75,0.85,64042
169,reznovwoods,32,7,75,0.97,81119
169,Gendreavis,16,10,75,0.69,70471
169,xDrummerboy42x,40,5,75,0.9,41855
169,BoogerRed,20,8,75,0.25,34502
169,Catfish_Killer_16,16,9,75,1.25,44098
169,alfa_sierra,20,9,75,1.1,67630
169,bugs99,16,10,75,1.12,64561
169,Mighty_Tingles,16,9,75,0.81,57592
169,Lentulus_Sura,20,8,75,1.7,86857
169,kiik21,16,10,75,0.88,54519
169,Glowworms_Revenge,56,3,75,0.77,33731
169,GeneralAdmiralDomingo,16,9,75,1.0,57964
169,Math_e,24,6,75,0.54,50151
169,Colete1,16,8,75,1.5,91569
169,Nimlee,20,8,75,1.15,76096
169,Sivonei_Betin,16,10,75,0.81,56545
169,Rokkator,16,9,75,0.81,71160
169,Stannish,36,6,75,0.89,60573
169,classic1017,40,5,75,1.45,66307
169,oldmantime,16,10,75,0.5,45819
169,Klaus_Conqueror,20,7,75,0.85,58278
169,sosa426,28,7,75,0.86,49250
169,oilPxPilo,16,9,75,0.75,66070
169,kilbrj,16,9,75,0.5,38786
169,Kudoken,16,9,75,0.62,77942
169,Jtsully2013,16,10,75,1.12,68425
169,Corgo_Ship,16,9,75,0.94,58189
169,Confederate_Submariner,16,9,75,1.06,46212
169,smartpanda,16,10,75,0.81,76401
169,turboone_1,20,8,75,0.55,29566
169,Si_No,32,6,75,0.94,77473
169,eSSex_30,16,8,75,1.31,63620
169,frank_zf,20,8,75,0.75,62860
169,Cheeezzy,24,8,75,0.83,66327
169,Reddek,16,10,75,0.81,58495
169,ChevalierClass,28,6,75,0.93,63321
169,Maxitaxi55555,40,5,75,1.0,47474
169,CitizenErased07,16,10,75,0.62,65608
169,UttermostBasmati,28,8,75,1.07,70904
169,____________________iong,16,9,75,1.5,59640
169,Jamsil_Macho_Jang,16,9,75,1.31,66533
222,Yamamoto1941,63,1,74.6,1.35,45405
223,Lateralus462,43,4,74.42,1.26,62449
223,Devilkt,43,5,74.42,1.28,88086
225,Fade_The_Heat,39,6,74.36,1.08,68855
226,SourMilk,35,7,74.29,1.17,65063
226,xXPSYOPSXx,35,5,74.29,1.17,83215
226,Lemon_Lazy,35,5,74.29,1.37,87765
226,noz3186,35,5,74.29,0.97,35334
226,AFXVI,35,6,74.29,1.54,86844
231,zhao298,66,3,74.24,1.26,65622
232,tiffy_12,31,8,74.19,1.39,72753
232,culturedbark_72,31,7,74.19,1.29,93226
234,GloryForBloodGod,27,8,74.07,1.15,97696
234,TaiwanNumbaOne,27,8,74.07,1.19,59819
234,Iam_LYB,27,8,74.07,0.78,62349
237,Gabriel192,50,5,74,0.84,73491
238,rblade36,23,8,73.91,0.74,63480
238,tripple777,23,8,73.91,1.26,98698
238,Sipher351,23,8,73.91,1.26,74071
238,BattleBeans,23,9,73.91,0.65,69216
238,Sunnyboy4526,23,9,73.91,0.87,65384
243,ericthefly,42,5,73.81,1.33,91863
243,ACUPOFGR,42,5,73.81,0.86,61120
245,LoneLy_Feather,80,1,73.75,1.07,65805
246,Minigin,38,6,73.68,0.92,75621
246,HockeyPhool,19,9,73.68,0.47,43257
246,sacredonion,76,1,73.68,0.92,68333
246,Kage_Krieger,19,9,73.68,0.68,66177
246,AppropriateNickname,19,9,73.68,0.84,73479
246,snipeZ_ur_face,19,9,73.68,1.16,42660
246,Baol,19,9,73.68,1.0,51162
246,eigenmeat,19,9,73.68,1.47,59722
246,Spartias,76,1,73.68,1.13,53443
246,Kil_n_Time,38,5,73.68,0.97,63225
246,lexiaoyao,38,5,73.68,1.26,43107
246,KronzReaper,19,10,73.68,1.16,79147
246,Magtrinix1,19,8,73.68,1.11,75219
246,Plz_Kill_DD_First,19,9,73.68,1.0,57938
246,VictoriesAutMortis,19,10,73.68,1.37,79622
261,HiimKz,72,1,73.61,1.49,72636
262,Bedauern,34,6,73.53,0.76,62679
262,Forgotten_Fox,34,8,73.53,1.12,71992
262,MichaelWesten_OP,34,7,73.53,1.5,75195
262,Sherm19,34,7,73.53,0.94,41639
266,Warwolf595,15,9,73.33,0.67,71865
266,Patton_II,15,8,73.33,0.87,27025
266,planBskater69,15,9,73.33,1.07,73804
266,JetDude12,15,10,73.33,0.8,52003
266,dmac18t,15,10,73.33,0.73,42870
266,BSTRDFERG,15,10,73.33,0.73,37311
266,Sea_Penguin,15,8,73.33,1.13,63307
266,jackarooneyroo,15,10,73.33,0.93,75341
266,FireVerm,15,9,73.33,1.0,70405
266,NEMDAM,15,9,73.33,0.33,28815
266,Enders_rats,15,10,73.33,0.6,33343
266,Lordshadowdragon1,15,9,73.33,1.0,66787
266,WarCraft321,15,9,73.33,0.53,44045
266,HunterK87,15,10,73.33,1.27,85851
266,Willaev,15,9,73.33,0.6,41934
266,SweetPotatoes17,30,8,73.33,1.07,81833
266,Admiral_Warhobbit,15,10,73.33,1.33,63170
266,ShipWreck412709,15,10,73.33,0.47,44753
266,underpaid_oil_farmer,75,1,73.33,1.24,83839
266,zero_nkt,15,10,73.33,1.13,77072
266,HeellJumpeR,15,9,73.33,1.2,52445
266,jaygon1234,15,11,73.33,0.4,45867
266,Flattop_GA,15,9,73.33,0.87,24098
266,Abiter_617,15,10,73.33,0.6,56757
266,zraith_,15,9,73.33,0.6,50245
266,xDerecious,15,10,73.33,0.53,46297
266,amazingBadlord,15,9,73.33,1.13,58003
266,Yelirious,15,10,73.33,1.2,51376
266,DumpK1ng,15,10,73.33,0.93,38292
266,Norman_Scott,30,7,73.33,1.13,74660
266,Smith170,15,10,73.33,0.6,62603
266,Mhalarky,15,10,73.33,0.93,37041
266,WashingtonIrving,15,9,73.33,1.2,51455
266,_Captain_Shanks,15,9,73.33,0.8,68759
266,BlackSpartan04,15,9,73.33,1.07,52606
266,YungSungJP,15,9,73.33,0.67,49760
266,Powaii,15,10,73.33,1.13,92514
266,P0l4nikus,15,10,73.33,0.67,55276
304,Cranky999,41,5,73.17,1.02,62385
304,Uhntisss,41,7,73.17,1.05,80712
306,No1Stoner,67,1,73.13,1.06,59522
307,adj1099,52,5,73.08,1.17,68656
307,Easy_Armor,26,8,73.08,1.12,51981
307,Cyak_1,26,7,73.08,1.58,81941
307,Doctor_Who_Bacon_Warrior,26,8,73.08,0.77,52274
307,Qietman,26,7,73.08,0.81,36968
307,Anchor_Chan,26,7,73.08,0.73,29257
307,PapuPraieiro,26,8,73.08,0.38,46858
314,HollowBane37,37,5,72.97,1.3,72616
315,BarneyStyle,81,1,72.84,0.96,47073
316,Captain_DirtyLeotard,22,9,72.73,0.68,34375
316,Sollitus,22,8,72.73,0.86,66746
316,Kevik70,22,9,72.73,1.18,77533
316,Abate836,44,6,72.73,0.95,57507
316,ThanatosXV,33,6,72.73,1.15,61856
316,landlockednewfie,22,9,72.73,1.0,48669
316,Keegan94114,44,5,72.73,0.95,79657
316,Khrunos,22,9,72.73,1.18,55114
316,CaptainSnek,33,6,72.73,1.09,71660
316,Cap_Chivas,22,8,72.73,1.09,66708
316,Lauruna,22,10,72.73,0.55,35517
316,Love_Only_Hibiki,77,1,72.73,1.0,62554
316,skkhk,22,9,72.73,0.86,59335
329,Pegneus,73,1,72.6,1.05,63002
329,johnsonyouca,73,1,72.6,1.36,85180
331,iSaint_v2,62,4,72.58,1.24,81544
332,j2age,51,4,72.55,0.9,75944
333,GloryofKursk,40,6,72.5,0.8,48879
333,DarkGIO2365,40,5,72.5,1.18,78103
333,Ritata,40,5,72.5,1.48,75862
336,CamelTanker,29,8,72.41,0.48,41744
336,Galentro,29,9,72.41,0.69,53699
336,jason199506,29,5,72.41,1.62,103382
336,MouMouMAX,87,1,72.41,1.15,81792
340,Oldmank,47,6,72.34,0.79,42055
340,USSBorderPatrol,47,5,72.34,1.21,47308
342,Megatron_5,83,1,72.29,1.16,74963
343,Woody051,18,9,72.22,1.33,63270
343,Bloodbucket,18,9,72.22,1.11,84112
343,TheMatrix,18,10,72.22,0.61,82125
343,smileatthefaceofdeath,18,9,72.22,1.28,70145
343,Chicoreus,18,9,72.22,0.56,32148
343,mister_info,18,9,72.22,0.94,65033
343,HMCS_Tang,18,9,72.22,1.17,34839
343,Sir_Locomotive,18,9,72.22,0.78,70864
343,bleedngreen,18,9,72.22,1.06,62989
343,jeffster_,18,9,72.22,0.61,33625
343,Masher_of_Potatoes,18,9,72.22,0.72,46113
343,yyut_official,18,10,72.22,0.94,64166
343,Tanktj1941,36,7,72.22,0.83,45086
343,snehfang,18,9,72.22,1.06,85729
343,john40cal,18,9,72.22,0.78,54467
343,engineer131,18,9,72.22,0.94,64955
343,CommandMan7,18,9,72.22,0.39,28488
343,Mudmavis,18,9,72.22,0.39,32353
343,Misakiyin,18,10,72.22,1.11,72259
343,Joseph_ywd,18,9,72.22,1.28,55897
343,Nextan,18,10,72.22,0.72,33796
343,Magnyz93,18,9,72.22,1.11,75304
343,st_148935036,18,9,72.22,1.28,82256
343,ShallowAzure,18,9,72.22,1.22,68508
343,H_K1tahara,18,9,72.22,0.67,92227
343,I_HATE_MOON,18,10,72.22,1.06,70824
343,YuGumo_31,18,9,72.22,1.06,78910
370,GOLDPOWER_1,79,1,72.15,1.03,80804
371,Rattie64,43,6,72.09,0.51,36944
372,moonsea,68,1,72.06,1.54,74098
373,MRohCRACKER,25,9,72,0.64,39735
373,Zabka_,25,8,72,1.04,78277
373,LordFrostyHawk,25,10,72,1.12,84071
373,GhostSwordsman,25,9,72,1.08,39330
373,Seloniia,25,7,72,1.24,86104
373,Oskr73,25,9,72,1.0,66385
373,HuGe_1,25,8,72,1.24,80191
373,StraikerMS,25,8,72,0.8,61733
373,Stefx_1,25,9,72,0.76,72358
373,MacwithaRPG,25,9,72,0.64,59752
383,ArcticLancer,32,6,71.88,0.91,60580
383,Smiggs_,32,6,71.88,1.25,81792
383,seye2552,32,8,71.88,0.84,59657
383,Ar_Ares1004,32,5,71.88,1.22,35068
383,Baird_Zz,64,1,71.88,1.11,79203
388,LONEWOLF798,71,1,71.83,0.99,60612
389,SergeantHattie,78,1,71.79,1.0,60275
389,boyikr,39,5,71.79,1.15,60429
389,chill13_2015,39,7,71.79,0.64,56161
392,captainspoof,46,5,71.74,1.15,76341
392,Zack2519,46,5,71.74,1.46,79995
394,TAM_OH,53,5,71.7,0.87,43957
395,Hailtronzx,60,5,71.67,1.2,73458
395,CloudAI,60,4,71.67,0.92,63244
397,Baird_fk,67,1,71.64,1.15,79404
398,Dreadnaught90k,21,10,71.43,0.95,69142
398,BMontgomery,14,11,71.43,0.5,56457
398,CSM_HQ_Coy,14,10,71.43,1.14,76141
398,Tentacools,14,9,71.43,0.86,33680
398,Zipang01,14,10,71.43,1.0,68388
398,ShuDawg,14,10,71.43,1.07,43197
398,Oddball1973,14,10,71.43,0.71,47860
398,Evilbri,14,10,71.43,0.64,60515
398,Ghost_Commander,14,10,71.43,0.71,60973
398,TheUnsungHero,21,9,71.43,1.05,55470
398,MountainMan1349,14,11,71.43,1.0,39856
398,iQwop,14,10,71.43,0.93,56812
398,Kissov,14,11,71.43,1.14,77516
398,UKilledKennyUBastard,21,9,71.43,0.43,43622
398,Delta_7B,21,9,71.43,0.67,65278
398,Capt_Barkhorn,14,10,71.43,1.5,79523
398,Medicated_Monkey,14,10,71.43,1.14,79725
398,covie,14,10,71.43,0.57,59609
398,Alexandrix,14,10,71.43,0.64,47934
398,TANIWHA_TONGUE,14,10,71.43,1.29,77325
398,Kukidzalis,14,10,71.43,0.57,49906
398,pipsqueak259,14,10,71.43,0.86,50752
398,swinder,21,9,71.43,0.67,43191
398,PSGPANZER,28,8,71.43,0.54,43106
398,TheLarkNessMonster,21,9,71.43,0.86,51928
398,SquirtleSoup,35,6,71.43,0.97,48772
398,jcombo11,14,10,71.43,0.57,53580
398,Hunter_or_Hunted50,14,10,71.43,1.36,47999
398,Iceman396,14,10,71.43,1.07,50334
398,Keverta,42,6,71.43,0.98,40413
398,King_of_the_Mountains,28,8,71.43,0.68,64015
398,Fleischwolfe,21,9,71.43,1.14,46725
398,ALLOFMYSNACKBARS,35,7,71.43,0.97,46807
398,Keg_Stand,14,10,71.43,1.21,77403
398,TsundereMusashi,21,10,71.43,1.24,73670
398,Flip4190,14,11,71.43,1.43,78174
398,Yifu_Qiao,14,10,71.43,0.86,36111
398,blackpanther339,14,10,71.43,0.71,73502
398,COMPAC2,14,11,71.43,0.5,44856
398,wolvenfire,14,10,71.43,0.29,22233
398,M98andpregnant,14,9,71.43,1.21,61855
398,JornGrevis,14,10,71.43,1.14,72717
398,metalmilitia_599,14,10,71.43,0.64,53031
398,Bumblebro,14,10,71.43,1.93,97334
398,afroman720,14,10,71.43,1.0,42629
398,SleepingFisher,14,10,71.43,0.64,47708
398,TH4NKZ,70,1,71.43,0.96,65161
398,SCCreations,14,10,71.43,0.57,40375
398,Nighthawk__fighter,21,9,71.43,0.76,42165
398,SFNL,70,1,71.43,1.01,45697
398,HARLEM_HEAT,35,7,71.43,0.8,62704
398,RNGesus_hates_all,14,10,71.43,0.79,81375
398,Waldo_Faldo,14,10,71.43,0.43,32364
398,Fireblazenx,14,10,71.43,0.86,41750
398,splinewrench,14,10,71.43,0.21,27779
398,Billy233,14,9,71.43,0.86,74150
398,ach42,14,10,71.43,1.14,65470
398,LowSpeed_US,14,9,71.43,1.21,61197
398,HMSRoyalOak,14,9,71.43,0.79,60093
398,Hydrius,28,7,71.43,0.61,56459
398,groff_2016,14,10,71.43,0.57,57252
398,karnage_marksman,14,10,71.43,1.29,82073
398,Captainpotatoman,14,10,71.43,0.93,76324
398,CaptainAdama61,28,8,71.43,0.86,52986
398,AchillesVBR,14,10,71.43,0.71,47029
398,Medved0312,14,11,71.43,1.21,90655
398,SergioPSCSHIP,14,10,71.43,0.29,40740
398,Loqiical,14,10,71.43,1.43,46934
398,RearAdmiral_Waffle,14,10,71.43,0.86,65348
398,KGAE_27,14,10,71.43,1.36,41171
398,JackSauphalot,21,9,71.43,0.62,64499
398,LtCmdrRivan,14,11,71.43,0.86,44078
398,DrLucianoIV,28,8,71.43,1.04,71826
398,Kerdric,14,10,71.43,0.79,44362
398,thukx2011,21,8,71.43,0.81,66138
398,DuckyOnDatQuack,14,12,71.43,0.57,48939
398,Ahalkinan,14,10,71.43,0.29,49782
398,patrickzheung,14,10,71.43,0.79,52669
398,Malegod,21,9,71.43,1.0,72998
398,GoodInDeed,84,1,71.43,0.68,60391
398,Sone_mg,14,10,71.43,1.21,88986
398,Iron_Cream,14,10,71.43,0.71,69043
398,YPEN0220,14,10,71.43,0.93,74092
398,IainMBanks,14,10,71.43,0.21,18946
398,Melf_7,70,3,71.43,0.89,57620
398,DrBalans,14,10,71.43,1.71,102470
398,hero123567HK,14,10,71.43,0.93,50977
398,kimpori,42,7,71.43,1.24,64461
398,LightZilla,14,10,71.43,0.36,27216
398,tx_chainsaw666,14,10,71.43,0.21,42414
398,Bolas_Alpha,21,10,71.43,0.71,55160
398,RedSkull_84,14,10,71.43,0.93,71467
398,John_nukem_Sheridan,14,10,71.43,0.71,65761
491,AdmiralForza,52,5,71.15,1.15,66619
492,xfabi7x,45,5,71.11,1.33,99385
493,munitionready,83,1,71.08,0.84,58380
494,BlueWolf11,38,7,71.05,1.0,64917
495,TuxPenguin56,31,8,70.97,1.32,75121
495,tangerine007,31,8,70.97,0.65,50731
495,JunkAxe,31,7,70.97,0.48,46776
495,abhi_par,31,7,70.97,0.9,45566
495,Umega,31,7,70.97,0.97,60851
500,juskay,24,9,70.83,0.88,47847
500,WhatItsAPancake,24,9,70.83,0.96,77729
500,BravoLuigi,24,8,70.83,0.5,59507
500,onearmedbandit81,24,9,70.83,1.0,72014
500,Lzstars,24,9,70.83,0.79,65175
500,Octavian_87,24,8,70.83,1.08,60618
500,basementcarpenter,24,8,70.83,0.67,43299
500,NCC2614,24,9,70.83,0.96,78372
500,tzerhyn,24,7,70.83,1.25,70189
509,Shigetsu,41,6,70.73,1.1,54417
509,IamOiman,41,5,70.73,1.34,82145
509,TheDiceGuy,41,6,70.73,0.78,54825
512,Fuzzballs,75,1,70.67,1.32,69115
513,KnightOfZero,17,9,70.59,0.59,26334
513,FortsOfWars247,17,10,70.59,0.76,57046
513,azntrigboi,17,10,70.59,0.65,45749
513,ScapeGoat,34,7,70.59,0.76,68727
513,SkeletorEmperor,17,10,70.59,0.88,63584
513,______AESTHETIC_BREADBOX,17,9,70.59,0.59,81114
513,allbassfearme,17,9,70.59,0.76,54796
513,Diss,17,10,70.59,0.71,42230
513,iilikepieii,17,10,70.59,1.35,77401
513,ShellGoBonk,17,9,70.59,0.94,62636
513,Treybeus,17,9,70.59,0.47,42385
513,K_Bomb,17,9,70.59,1.82,108529
513,SMRabid,17,9,70.59,1.06,73197
513,Metchy_,34,8,70.59,0.91,57925
513,fioda,17,9,70.59,1.0,58925
513,Carrier_Northstar,17,10,70.59,1.29,57573
513,pocketpenny,17,9,70.59,0.94,55187
513,_shadoww_,34,8,70.59,1.03,41705
513,Deus102,51,5,70.59,1.0,64544
513,khanholio,17,9,70.59,1.29,98420
513,NBZSJ12138,17,9,70.59,0.53,57820
513,TheSpeakerCorraium,17,10,70.59,0.94,60040
513,Joetheshow23,17,10,70.59,0.59,60773
513,JWendt1999,17,9,70.59,1.06,61514
513,Havok19783,17,10,70.59,0.24,31041
513,TheNopeBoat,17,10,70.59,1.35,77948
513,Mickooo,51,6,70.59,0.82,57605
513,uberdave100,17,10,70.59,0.76,41625
513,KamakazeT,17,10,70.59,0.59,33818
513,iBeeTzu_cl,51,5,70.59,0.96,72365
513,RB2308,17,10,70.59,0.41,35089
513,Nepgyaaaaa,17,10,70.59,1.18,66289
513,RitzBittz,17,9,70.59,1.06,66869
513,TarkovChip,17,10,70.59,0.59,50129
513,Co_rin,17,10,70.59,1.35,70553
548,Jensenovski,78,1,70.51,1.1,48807
548,Frank_en_stein,78,1,70.51,1.24,80316
548,Zekamashi_DAYO,78,1,70.51,1.18,63632
551,Necrolitiummm,44,7,70.45,0.57,35834
551,Calcuseless,44,7,70.45,0.95,38528
551,__Mmvp__,88,1,70.45,1.23,72693
554,Waimeakboy,27,9,70.37,0.63,53276
554,bc_10551,27,9,70.37,0.44,52741
554,VonRisk,27,7,70.37,1.04,57252
554,cjryder,27,8,70.37,0.37,50437
554,hyl0510,27,8,70.37,0.74,38481
554,plaaswolf,27,8,70.37,0.52,27397
560,Adm_Nemo,37,7,70.27,0.92,74642
560,DariusGeorge,74,1,70.27,0.88,61593
560,CommanderJam,37,6,70.27,1.0,42416
560,BottomsUp99,37,7,70.27,0.73,47456
560,ADogNamedBrutus,37,7,70.27,1.22,80112
560,Angry_Hornet,37,7,70.27,0.97,46377
566,Obtruncabo_Vos,47,6,70.21,1.17,69655
